左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.4,12.1,55.4,13.8,7.9
7.6,12.6,56.6,13.1,7.6
7.6,12.3,56.8,13.6,7.7
7.4,12.3,57.6,13.1,7.6
7.4,12.6,58.0,13.0,7.7
7.6,11.8,55.8,13.1,7.8
7.1,12.0,55.4,12.9,8.2
7.1,12.2,51.1,13.1,8.3
7.2,11.3,53.6,12.9,8.0
7.4,11.9,52.5,13.0,7.9
7.4,11.2,47.4,13.4,7.7
7.4,11.8,47.1,13.0,8.1
6.9,12.1,45.5,13.3,8.3
7.2,12.0,43.2,13.3,7.9
7.2,11.1,44.7,14.0,8.4
7.2,11.4,43.6,13.2,7.8
7.2,11.3,43.5,14.1,7.8
7.0,11.8,41.0,14.3,8.0
6.9,11.4,40.7,13.2,7.8
7.0,10.8,38.2,14.5,7.8
6.7,11.3,34.7,13.8,8.2
6.7,11.2,33.3,13.3,8.3
6.7,11.4,35.1,13.9,8.4
6.6,11.0,33.4,13.3,8.5
6.8,11.2,31.6,14.0,8.6
6.7,44.6,30.9,13.4,8.5
6.6,43.3,29.5,13.7,8.4
6.4,39.5,26.1,14.1,8.5
6.2,38.3,26.3,13.6,8.2
7.1,38.5,23.3,13.4,8.3
6.7,33.9,22.6,14.2,8.3
6.8,33.8,22.2,13.6,7.9
6.2,32.1,21.1,14.4,8.2
6.2,30.8,18.8,13.9,8.4
34.5,28.7,18.4,14.7,8.1
21.9,29.7,17.1,15.4,8.3
13.4,33.0,17.4,17.7,8.6
6.4,36.6,17.9,19.5,9.1
6.6,44.3,18.7,19.0,8.8
7.8,52.9,18.3,19.0,10.0
8.4,92.6,18.9,18.1,10.3
9.7,92.9,21.8,16.6,11.7
10.3,95.9,23.7,17.0,12.9
12.2,64.8,26.4,16.2,15.6
14.3,17.2,32.9,16.3,18.4
17.6,8.8,37.2,17.6,19.8
24.4,7.1,46.9,17.9,18.0
28.0,6.9,59.9,18.1,17.7
29.8,6.3,65.4,18.6,16.5
32.2,5.5,89.1,18.1,15.3
33.0,4.3,91.9,18.9,15.3
30.4,4.6,92.0,17.8,14.8
25.9,5.1,91.5,17.7,14.0
27.4,4.9,85.6,18.0,14.9
34.2,4.6,85.7,20.1,14.7
49.1,4.1,86.6,21.4,13.6
49.6,3.6,80.1,23.5,13.7
49.5,3.0,50.8,25.1,14.4
52.5,3.1,33.2,28.1,13.5
53.3,3.0,28.8,28.9,13.9
53.2,3.1,23.9,28.7,13.4
52.5,3.1,22.8,31.1,14.1
54.1,3.1,23.0,29.0,13.2
52.7,3.1,22.7,30.6,14.2
52.5,3.2,24.7,30.7,14.3
51.4,3.0,25.3,28.7,12.9
1.8,2.9,26.7,29.3,13.3
1.8,3.2,31.2,26.5,13.6
1.6,3.2,35.1,26.5,13.2
1.5,3.0,38.8,24.9,13.6
1.4,3.0,44.5,26.1,13.7
1.3,3.1,52.2,25.5,13.3
1.2,2.9,61.7,24.9,14.5
1.2,3.1,67.3,24.4,14.4
1.1,3.0,68.3,24.9,14.3
1.0,3.1,67.0,24.1,14.2
0.9,2.9,65.2,24.1,14.1
0.9,3.1,66.5,23.1,13.6
0.9,3.0,66.1,23.5,14.7
0.9,3.0,64.1,22.1,13.7
0.8,3.1,60.7,23.0,14.0
0.8,3.1,61.0,23.6,13.6
0.7,3.0,57.1,22.0,14.5
0.7,3.2,55.1,22.7,14.3
0.7,3.1,53.4,23.3,14.7
0.7,3.1,51.8,21.7,14.6
0.7,2.9,51.5,23.0,14.1
0.7,3.1,52.3,22.0,14.8
0.7,3.1,48.2,23.1,13.8
0.7,3.0,48.0,23.2,14.8
0.7,3.2,49.7,23.4,14.5
0.7,3.2,46.3,21.4,14.3
0.7,3.2,43.2,21.8,13.7
0.7,2.9,41.9,23.4,14.1
0.7,3.1,43.8,21.3,14.4
0.7,3.0,39.3,22.3,14.6
0.7,3.0,38.7,22.7,14.6
0.8,2.9,37.3,54.1,14.4
0.7,2.9,38.5,52.5,14.1
0.7,3.2,35.4,54.3,14.5
0.7,3.0,34.3,50.3,13.6
0.7,3.1,31.5,48.7,14.8
0.7,3.0,31.2,45.4,14.6
0.7,3.0,30.1,44.1,14.8
0.7,2.9,30.4,42.9,13.7
0.7,2.9,26.7,40.5,14.1
0.7,3.1,26.6,38.6,14.9
0.7,3.0,24.3,36.5,14.5
0.7,3.2,23.4,35.2,14.1
0.7,3.2,22.4,34.5,14.5
0.7,3.0,21.5,33.1,15.0
0.7,3.1,19.5,28.4,14.7
0.7,2.9,17.9,28.3,51.8
0.7,2.9,16.4,25.2,54.8
0.7,3.2,16.5,23.3,51.9
0.7,3.0,15.1,22.4,55.6
0.8,3.3,13.9,20.7,55.3
1.0,3.8,12.2,21.6,51.5
1.1,4.4,12.9,21.2,52.9
1.4,5.2,12.6,22.3,52.7
1.6,6.0,12.2,23.4,48.2
1.9,7.4,12.1,24.4,38.9
2.2,8.2,12.0,26.3,30.2
2.6,10.1,11.6,28.6,23.8
3.1,12.6,13.0,33.9,18.8
3.5,11.9,13.0,42.3,14.6
4.0,11.9,14.1,55.4,14.9
4.9,11.1,14.7,50.5,15.3
5.7,11.2,15.6,52.8,17.9
7.0,11.3,18.2,52.5,19.7
7.6,11.3,18.6,51.7,20.1
9.2,10.8,19.5,52.8,20.5
11.2,10.2,19.1,53.1,21.1
12.6,9.5,20.0,47.9,20.2
12.6,8.9,18.7,49.7,18.3
10.9,8.2,17.4,47.8,16.8
10.6,7.3,16.6,46.2,15.8
9.6,6.7,15.6,45.1,13.7
8.6,6.1,13.7,44.5,12.4
7.8,5.3,12.3,44.4,13.0
6.4,4.7,10.9,42.2,14.4
5.5,3.7,10.3,44.0,15.5
4.6,3.1,8.5,39.7,15.6
4.2,3.0,9.4,43.2,15.2
3.7,3.0,11.2,40.2,14.1
3.3,3.2,15.8,40.2,13.2
3.0,3.8,22.3,31.5,12.6
2.9,4.4,33.7,26.8,13.2
2.7,5.1,40.0,21.4,39.8
2.7,6.0,37.7,18.9,95.7
2.8,7.7,39.8,16.8,101.2
3.1,10.4,39.0,15.7,104.8
3.3,14.2,39.6,14.4,52.8
3.9,21.2,32.1,13.9,40.6
4.4,27.8,27.0,12.4,37.2
5.0,36.5,25.3,12.7,34.4
5.3,36.1,24.3,12.1,36.0
6.4,35.2,20.8,11.6,33.9
7.0,37.2,21.1,11.1,37.7
7.8,35.1,19.7,10.1,35.6
9.3,34.8,18.6,9.0,37.0
9.6,31.8,16.5,8.5,39.4
10.6,32.0,15.0,7.2,42.5
11.9,30.9,13.8,6.9,42.9
12.2,31.0,13.5,6.5,42.9
13.3,27.9,12.9,5.8,45.6
13.0,28.9,14.2,6.0,7.1
11.8,29.9,14.9,5.6,6.4
11.9,30.9,19.0,5.9,5.5
10.8,28.2,24.0,6.2,4.8
11.2,23.5,27.3,6.6,4.7
11.1,20.8,26.8,7.5,4.6
10.1,17.9,27.3,8.0,4.6
11.0,16.4,26.3,8.7,4.6
11.0,15.9,24.6,9.2,4.5
10.3,14.4,23.9,10.0,4.7
10.7,14.9,23.0,11.0,4.8
10.7,13.7,22.0,10.8,4.6
10.3,13.7,21.7,11.5,4.6
