左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.2,11.9,55.8,13.3,7.9
7.4,12.1,55.4,13.6,8.1
7.2,11.7,58.8,13.0,7.7
7.1,11.8,58.2,13.0,7.6
7.2,12.8,58.6,13.9,7.6
7.7,12.3,54.7,12.6,7.9
7.7,12.1,55.2,13.1,7.7
7.6,11.9,54.4,13.9,8.1
7.2,12.4,57.5,13.1,7.7
7.5,11.9,57.5,13.4,8.3
7.3,11.9,53.7,13.7,7.6
7.2,12.3,51.9,13.6,7.7
7.6,11.6,51.8,13.8,8.3
6.9,11.7,52.8,13.9,8.0
6.9,11.9,49.7,13.7,8.0
7.6,12.3,52.3,13.9,8.0
7.5,12.1,50.8,14.0,7.7
7.5,11.7,49.2,13.4,8.0
7.5,11.4,48.2,12.9,7.7
7.0,11.9,51.4,13.8,7.7
7.2,11.5,48.7,12.9,8.0
6.9,11.7,47.2,13.2,7.7
7.3,11.3,47.6,13.0,7.8
7.4,11.7,45.8,13.1,8.2
7.2,12.2,46.0,12.9,8.2
6.8,11.3,44.2,12.9,8.1
7.4,11.2,45.8,14.2,8.2
6.8,11.8,43.1,12.9,7.9
6.8,11.5,43.4,13.3,8.2
7.2,11.7,45.4,13.9,8.0
7.1,11.9,42.0,13.9,8.2
7.1,11.0,44.0,13.0,7.8
7.3,11.2,41.1,13.0,7.7
7.2,11.6,41.6,13.9,8.0
6.9,11.5,38.4,13.7,8.2
6.9,11.7,39.4,14.1,7.9
6.7,11.1,40.4,14.3,7.7
7.0,11.7,36.7,13.9,7.9
6.6,10.6,39.2,13.5,8.0
7.0,10.3,38.8,15.4,8.4
6.9,9.5,37.9,15.8,7.8
7.0,9.3,37.2,17.6,8.5
7.3,8.3,36.5,21.1,8.7
8.0,7.9,40.7,26.6,9.0
8.7,7.3,42.4,37.7,9.8
9.4,7.0,46.1,35.7,10.7
10.5,7.1,14.1,35.4,12.1
11.8,6.4,11.6,37.6,14.1
13.6,6.8,10.0,35.2,15.5
14.3,6.5,9.1,36.1,17.7
15.0,6.4,9.2,36.5,17.9
14.0,6.6,9.1,37.5,17.6
12.7,6.4,10.3,36.4,14.8
10.7,6.5,10.9,36.0,13.5
10.1,6.5,12.9,34.5,12.8
8.7,6.6,13.8,35.4,11.5
7.9,6.6,41.3,35.5,10.4
7.5,7.1,37.6,30.3,9.3
6.9,7.4,36.9,24.2,8.8
6.7,8.9,34.3,19.5,8.8
6.0,9.9,34.3,15.9,8.4
6.4,11.3,36.7,13.1,9.0
6.4,13.8,37.5,11.8,9.1
6.4,40.3,38.9,10.9,9.6
7.2,39.8,29.6,9.3,10.2
7.7,37.1,21.8,9.4,11.1
8.5,35.7,18.1,9.0,12.2
10.1,34.0,15.3,8.5,13.7
12.5,35.3,13.4,8.5,16.1
42.9,37.9,11.1,9.3,18.7
38.9,37.6,10.3,9.7,25.8
39.2,28.5,9.6,9.7,31.7
38.3,21.9,9.3,11.4,29.7
35.3,17.6,9.2,12.6,30.2
36.4,16.1,8.4,13.7,29.4
36.3,15.4,9.1,13.6,30.1
36.4,15.0,8.6,12.7,29.7
35.6,16.4,9.1,12.2,29.1
35.4,18.7,9.2,11.5,29.2
35.3,21.9,9.6,10.8,31.1
38.2,28.8,9.6,9.9,31.0
39.5,36.8,10.0,9.3,25.5
40.9,36.4,11.7,9.4,21.5
12.4,34.4,12.0,9.0,16.7
11.0,34.1,15.0,8.9,15.1
8.9,37.4,17.6,9.1,12.6
8.0,37.5,19.7,8.8,11.7
7.5,37.8,27.1,9.2,10.7
6.8,40.2,35.8,10.0,9.8
6.6,44.6,36.8,10.8,8.8
6.4,12.8,34.3,12.2,8.5
6.4,10.5,35.4,15.2,8.8
6.3,8.8,34.3,17.3,8.7
6.8,7.9,37.0,21.1,9.4
6.7,7.4,38.2,27.7,9.5
7.4,6.8,40.8,36.7,10.7
8.0,6.2,40.6,35.3,10.9
7.7,5.4,44.2,34.0,12.7
7.5,5.3,11.9,34.1,13.6
7.3,4.8,10.6,33.8,13.7
6.9,3.9,9.4,33.0,15.9
5.7,3.3,8.2,29.4,16.8
5.3,2.7,7.0,30.2,18.0
5.3,2.5,6.6,27.6,17.2
5.7,2.5,5.7,27.0,18.1
6.3,2.7,5.6,27.8,19.6
6.8,2.6,5.1,26.2,20.5
6.9,2.7,5.0,25.2,22.2
6.2,2.5,42.0,25.7,20.6
6.1,2.5,38.4,26.2,19.4
5.2,2.6,36.1,26.4,18.0
4.2,3.0,32.7,26.3,15.2
3.9,3.2,29.0,25.9,14.8
3.5,3.2,27.5,26.4,14.2
2.9,3.6,27.5,27.4,12.4
2.7,4.2,25.0,25.4,12.7
2.6,42.7,25.1,20.7,12.5
2.5,37.6,25.1,18.1,12.7
3.0,33.0,25.9,17.2,12.8
3.1,30.4,27.1,15.6,12.2
3.1,27.8,25.5,13.5,13.0
3.6,25.9,25.7,13.6,12.8
3.7,24.4,26.8,13.5,12.9
61.9,24.4,26.1,12.7,13.0
57.2,23.5,23.9,12.3,12.2
52.5,21.1,22.5,11.0,12.6
52.6,21.2,22.0,11.1,11.2
46.3,20.0,21.5,10.4,11.1
45.4,18.9,20.0,9.6,10.7
41.9,16.2,19.0,8.6,9.9
40.6,15.1,17.5,8.2,9.4
38.2,15.2,16.4,8.1,8.8
34.6,13.3,14.7,7.6,7.7
33.9,12.9,13.2,6.6,7.3
35.0,12.0,11.7,6.5,7.0
38.6,12.1,11.0,6.4,6.1
48.0,11.5,10.5,6.5,5.8
67.9,12.0,9.5,6.8,5.2
96.1,12.9,9.6,8.2,5.0
93.7,15.2,9.4,9.0,4.9
91.4,16.4,9.4,10.5,5.1
47.5,21.7,9.4,11.5,5.3
30.7,26.7,9.8,10.0,5.4
21.0,34.2,10.5,9.7,5.8
15.8,54.7,11.2,8.9,6.7
13.5,93.3,12.2,8.7,7.3
16.0,97.2,14.5,8.4,9.1
19.5,91.8,17.3,8.9,10.4
22.9,43.1,20.2,9.5,11.4
30.4,28.1,27.7,9.4,10.0
39.8,19.7,36.9,10.4,9.2
56.7,16.3,61.1,11.7,8.6
56.1,14.7,93.0,13.3,8.7
56.0,16.9,97.7,15.3,8.8
57.1,18.2,95.4,16.2,8.9
56.4,19.7,60.0,18.1,8.6
46.6,20.3,51.2,20.7,9.0
43.6,20.5,43.8,22.1,9.6
39.9,21.9,39.3,22.7,9.2
41.6,20.4,37.4,23.1,9.3
39.5,19.6,33.9,25.2,9.6
44.5,18.5,31.4,25.0,10.4
44.8,17.1,31.3,27.7,10.0
49.2,14.8,28.9,27.3,11.2
52.8,12.6,26.7,28.4,11.6
53.2,10.8,26.2,28.0,11.3
55.3,7.9,23.4,31.2,12.1
57.6,5.0,23.8,31.2,12.7
56.6,4.1,21.8,31.9,12.4
57.7,4.0,23.9,30.1,12.6
53.1,4.3,31.8,26.6,13.0
52.9,4.4,52.0,24.4,12.7
53.9,5.5,80.7,20.9,12.4
7.4,6.2,77.7,18.4,12.0
2.4,7.5,84.9,16.0,12.4
2.7,9.1,86.8,15.6,13.2
2.9,10.4,57.9,15.5,13.4
3.1,11.9,50.7,14.0,13.8
3.3,13.1,45.5,13.7,12.8
3.8,15.1,42.2,13.5,12.7
4.1,15.7,39.7,13.1,13.1
4.6,17.9,38.7,12.4,12.3
5.3,19.4,38.3,12.0,12.2
5.4,19.9,34.5,11.8,11.2
6.0,21.5,33.1,10.8,11.1
6.8,22.8,31.9,10.2,10.7
7.3,22.6,33.0,10.4,9.6
7.7,25.2,30.6,9.4,9.8
8.5,27.4,28.2,9.3,9.1
8.5,29.5,25.9,8.1,8.8
9.9,39.7,21.1,8.0,9.1
10.7,54.2,17.7,7.6,8.9
11.8,63.2,14.3,6.8,10.2
13.4,62.6,12.4,7.0,11.2
15.0,66.0,10.4,6.6,13.2
19.3,65.6,9.2,7.1,15.5
24.3,35.7,8.3,7.2,19.1
32.0,24.5,7.5,7.9,27.1
46.2,18.4,7.0,8.0,39.7
63.8,14.3,7.0,8.9,37.7
64.7,12.0,6.3,10.8,35.6
64.2,10.6,6.5,13.4,35.4
61.3,9.0,6.7,15.2,36.8
34.0,8.3,7.1,20.1,38.1
23.0,7.5,7.4,26.6,39.6
17.6,6.9,8.5,39.8,46.0
14.0,6.5,9.8,38.2,16.6
11.9,6.8,11.3,36.6,14.4
9.8,6.5,13.9,36.3,11.8
8.8,7.0,16.2,39.5,11.2
8.1,7.1,20.5,40.7,10.1
7.2,7.9,29.8,40.1,8.8
6.5,8.8,38.9,46.2,9.0
6.3,9.5,37.2,16.8,8.7
6.3,10.6,35.9,15.3,8.8
6.3,10.4,38.1,14.9,8.4
6.9,10.1,38.8,16.0,8.8
6.5,8.9,37.2,44.4,8.5
7.2,8.7,37.4,43.6,8.8
7.1,7.9,27.1,40.6,9.0
7.7,7.3,20.5,40.3,9.7
8.9,6.6,16.0,39.0,10.9
9.8,6.9,13.1,38.3,12.4
10.8,6.4,11.6,36.5,13.8
13.3,6.9,10.0,37.7,15.8
16.4,7.1,8.7,39.7,45.1
21.6,7.5,7.6,30.2,43.7
29.0,8.2,7.5,21.6,41.4
61.3,8.5,6.6,15.7,38.0
64.4,9.8,6.9,12.8,37.1
61.7,11.0,6.5,11.6,35.5
65.5,14.4,6.4,9.5,36.9
52.7,17.2,6.9,8.7,36.5
33.0,23.2,7.0,7.7,27.2
24.5,34.1,8.3,7.5,19.2
19.3,67.0,9.2,6.8,15.0
16.0,62.8,10.1,6.6,12.9
13.7,63.9,12.2,6.7,10.6
11.2,64.8,14.1,6.9,9.1
10.9,52.9,16.4,7.0,7.9
10.8,38.8,19.9,6.4,7.5
10.8,30.6,22.0,6.5,6.8
9.7,25.4,32.2,7.1,5.9
9.5,21.8,60.2,7.4,5.5
9.2,17.3,61.3,8.7,5.6
9.9,15.4,61.3,9.1,5.1
9.5,15.2,59.0,10.6,5.5
9.9,14.7,57.0,10.5,5.3
9.8,14.5,61.3,11.0,5.2
10.0,13.5,58.8,11.8,5.1
9.9,13.3,56.7,12.0,5.5
10.1,12.7,58.3,13.2,5.7
9.5,12.5,53.2,13.8,5.5
9.0,12.6,51.7,13.8,5.9
8.9,12.0,54.5,13.5,5.8
8.8,12.3,52.3,14.6,6.6
8.4,12.8,49.8,13.6,6.6
9.1,13.5,48.2,12.1,6.7
8.7,14.1,50.2,11.1,6.3
8.3,16.7,49.6,9.8,6.5
8.6,19.9,47.7,9.1,6.6
9.4,24.4,49.7,7.7,7.0
9.8,33.1,23.3,7.2,7.7
10.2,45.9,18.6,7.4,8.2
11.8,47.0,14.5,6.5,8.4
12.2,48.3,13.1,5.9,9.3
14.0,43.7,11.7,5.9,8.5
14.7,44.2,10.2,5.1,7.9
15.5,42.7,9.1,4.3,7.2
15.5,43.2,8.9,3.7,6.9
15.6,41.9,8.6,3.6,5.9
15.1,41.6,9.9,3.5,5.0
14.6,45.1,11.8,3.5,4.0
13.1,41.9,15.2,3.3,3.5
12.5,32.0,45.0,3.8,3.1
12.4,25.7,41.3,4.1,2.8
12.0,22.2,40.5,4.8,2.8
11.8,19.2,41.0,6.2,2.7
12.3,16.8,42.4,6.8,2.7
12.3,16.9,39.9,8.2,2.7
13.2,15.3,39.3,9.4,2.8
