左側距離,左前方距離,前方距離,右前方距離,右側距離
12.4,14.7,39.5,9.6,3.1
12.7,14.6,38.9,10.5,3.3
12.9,14.2,38.2,12.2,3.6
11.6,14.1,38.5,12.5,3.8
11.7,13.1,37.5,37.4,4.1
11.9,12.8,33.7,38.5,4.3
11.3,13.0,34.3,34.7,4.6
10.6,12.6,32.6,35.4,5.5
10.1,11.6,29.4,33.5,5.6
10.0,10.9,29.6,31.1,6.2
9.3,10.8,27.5,30.3,6.2
9.7,10.5,26.2,30.8,6.8
9.3,11.1,24.7,30.7,6.3
8.9,11.8,23.8,33.4,6.5
8.0,13.1,24.9,33.8,6.8
8.5,15.0,24.7,39.8,6.9
8.5,18.5,24.7,43.5,6.7
8.8,20.2,24.7,51.6,6.8
8.9,23.8,23.0,54.4,7.0
9.1,25.2,23.2,51.2,6.9
9.4,24.0,22.3,50.3,6.8
9.9,22.4,21.1,50.4,6.2
11.2,19.8,20.3,52.2,5.9
11.3,19.1,20.1,46.3,5.8
12.0,19.1,19.4,48.1,6.1
13.2,17.2,21.3,44.9,6.5
13.9,17.2,22.5,43.1,7.7
16.6,16.0,23.2,42.7,8.0
18.1,16.7,27.3,39.5,10.3
21.4,16.3,32.5,16.6,12.1
18.8,17.7,39.1,8.3,15.5
17.9,17.9,45.9,5.6,20.4
17.0,19.8,46.1,6.2,32.2
16.7,20.6,46.6,6.7,60.7
16.3,23.7,42.6,8.2,86.3
15.7,27.3,38.3,9.8,86.4
15.9,31.6,21.1,10.8,84.4
15.9,34.9,15.0,10.4,88.8
16.2,34.8,8.0,10.8,64.4
17.5,40.1,7.8,9.9,62.3
18.2,39.1,6.3,8.1,60.0
18.1,39.4,5.7,6.1,84.5
17.2,34.9,10.3,4.9,86.6
17.0,33.9,13.4,4.4,85.4
16.1,29.8,20.1,3.8,81.5
16.5,27.7,39.0,3.6,87.1
16.6,25.4,41.9,3.2,80.8
16.2,25.1,42.0,3.2,83.4
16.8,22.8,42.1,3.0,65.5
16.3,21.5,42.1,3.2,42.1
17.1,21.6,43.4,3.1,29.3
17.2,19.2,42.7,3.2,22.4
18.0,19.3,43.0,3.2,18.9
17.2,18.5,45.8,2.9,18.3
18.3,18.8,47.3,3.0,17.0
18.5,18.4,48.4,3.0,15.1
19.4,18.7,45.3,5.4,12.3
18.2,18.2,43.1,6.4,10.2
17.4,16.5,40.6,6.5,8.5
18.1,16.5,40.3,10.2,6.7
17.6,15.3,36.6,12.3,4.3
17.2,15.1,36.7,14.6,1.8
16.3,15.3,35.3,15.5,2.2
16.3,13.8,33.6,18.2,2.6
14.7,13.7,33.0,20.1,3.1
13.9,12.3,31.9,21.2,3.1
13.3,11.7,31.2,23.2,4.9
13.4,11.1,29.3,25.3,5.8
11.8,11.2,26.6,28.3,6.3
11.9,10.7,25.4,30.7,6.7
11.0,10.0,24.1,30.1,7.6
10.2,8.8,23.6,28.7,7.9
9.5,8.4,25.2,29.0,8.3
8.6,8.4,28.9,25.8,8.1
7.7,9.2,25.8,22.9,8.2
7.3,9.5,25.5,18.5,8.2
6.9,10.6,25.9,15.4,8.1
7.2,10.8,24.7,14.6,8.6
6.6,11.3,24.0,13.8,8.0
6.7,12.2,22.9,13.5,8.7
6.4,12.1,21.8,13.0,8.2
