-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.4,12.9,92.8,12.9,7.8
7.1,12.6,96.0,13.1,7.9
7.3,12.7,96.4,12.8,7.7
7.2,12.8,91.9,14.0,8.3
7.2,12.1,100.4,13.2,8.1
7.5,12.1,94.6,13.8,8.0
7.5,11.7,93.7,13.5,7.7
7.5,12.1,94.2,13.8,8.1
7.0,11.6,91.7,12.9,7.9
7.6,12.4,92.6,13.3,7.9
7.1,11.6,88.7,14.2,7.6
7.2,12.3,84.2,13.7,7.9
7.3,12.4,83.2,13.5,8.4
7.4,12.2,86.6,13.1,7.8
7.1,11.6,82.7,14.3,7.8
7.1,11.3,83.6,13.5,8.0
7.1,11.3,77.5,13.4,8.5
7.1,11.4,78.6,13.5,8.0
6.7,11.9,75.9,13.7,8.5
7.3,11.3,75.0,14.2,8.3
6.9,12.0,78.2,14.0,8.5
6.6,10.9,73.9,14.0,8.1
7.0,11.0,74.1,14.0,8.4
7.0,11.2,72.8,13.5,8.2
6.5,11.7,73.6,13.8,8.6
6.7,11.2,69.7,13.9,8.5
6.8,11.0,67.0,14.7,8.0
6.7,11.0,67.9,13.5,8.3
7.0,11.3,67.7,13.8,8.0
6.7,10.8,61.5,14.6,8.4
6.8,11.0,64.8,13.6,8.1
6.6,10.8,64.5,15.0,8.7
6.5,11.4,62.0,13.8,8.5
6.5,10.5,59.7,14.5,8.7
6.7,11.3,56.5,15.1,8.4
6.3,10.8,57.5,13.9,8.1
6.5,10.9,56.8,14.7,8.6
6.1,10.7,53.1,14.7,8.8
6.6,10.8,53.3,14.9,8.7
6.2,10.2,51.8,14.9,8.7
6.5,10.5,48.5,14.2,9.0
6.4,10.1,46.9,15.1,8.5
6.1,10.1,44.8,14.1,9.0
6.0,10.1,47.9,14.1,8.8
6.2,10.5,42.7,14.3,9.1
5.8,10.2,43.6,15.1,9.0
5.9,10.4,40.8,14.4,8.7
6.2,9.8,40.1,14.2,9.0
6.0,10.4,40.2,15.3,8.9
6.1,10.1,36.0,15.0,8.5
6.1,10.3,37.4,14.3,9.1
6.0,9.9,34.5,14.9,9.1
5.6,10.0,34.8,15.5,8.7
5.6,10.0,33.0,14.9,8.5
5.8,9.6,31.5,15.1,9.1
6.0,42.8,30.3,14.5,9.4
6.0,41.0,27.5,15.6,9.3
5.8,41.3,26.9,15.3,9.0
5.5,39.6,25.8,15.3,9.3
5.7,35.7,25.3,15.8,9.4
5.7,37.1,23.2,14.9,9.0
5.7,34.3,20.8,15.4,9.4
5.7,33.2,20.9,16.0,9.2
5.5,34.3,19.9,16.6,9.0
5.3,36.1,19.0,17.7,9.2
5.7,41.6,20.1,21.7,9.3
5.7,45.8,19.4,22.3,10.0
6.4,57.8,21.6,19.9,10.0
7.1,69.6,22.5,19.1,11.7
7.6,65.9,23.7,18.1,11.7
8.6,64.4,27.0,19.2,13.5
9.9,59.7,29.2,18.2,15.4
11.1,36.2,30.7,18.3,18.7
11.0,33.5,32.2,16.8,21.2
10.3,34.9,33.3,17.4,21.9
9.8,32.6,34.4,17.0,20.3
8.2,31.9,33.1,15.2,18.1
6.7,33.1,32.4,15.2,18.5
5.7,31.8,33.2,14.6,17.8
5.3,32.6,34.8,14.4,15.2
5.7,32.4,43.0,15.5,15.5
7.8,33.6,52.2,15.9,14.7
11.7,34.2,61.3,16.3,13.1
24.5,6.6,59.7,16.9,13.5
95.2,5.3,61.7,19.8,12.4
88.6,4.5,59.4,22.4,13.4
95.9,3.5,33.3,27.3,13.1
71.3,3.2,30.7,31.5,13.9
61.2,3.2,29.1,34.0,13.9
59.5,3.1,28.7,38.8,13.3
65.3,3.2,28.0,36.8,13.8
64.4,3.0,27.1,38.1,14.3
73.0,3.1,25.8,37.1,14.2
80.6,2.5,25.6,35.0,13.3
2.4,53.0,22.8,34.5,14.5
2.1,49.4,21.6,33.4,13.4
1.8,49.2,20.5,34.1,14.4
1.4,45.1,18.4,35.1,14.9
3.9,42.8,18.3,33.9,15.6
8.8,38.3,16.8,35.9,15.0
12.6,36.3,14.9,34.6,15.0
17.4,31.7,14.7,36.1,16.3
20.3,31.8,13.4,39.5,17.1
19.0,31.5,13.1,42.8,16.9
17.1,36.5,12.3,46.3,16.9
15.4,43.6,12.4,44.2,19.3
13.0,61.9,13.5,43.1,19.7
10.5,88.0,14.4,41.1,22.1
8.7,90.5,16.0,39.0,24.0
8.2,85.7,17.9,39.6,26.6
7.6,56.0,20.3,15.5,32.9
7.1,38.8,23.5,9.7,36.8
7.3,33.8,23.7,9.0,44.1
7.7,31.8,24.5,9.0,43.6
8.3,30.0,25.1,8.7,44.0
8.8,32.0,23.4,8.2,42.7
9.4,31.1,24.4,7.5,41.9
10.0,30.8,22.2,7.0,40.5
10.3,32.8,21.1,6.6,41.0
10.8,33.7,20.5,5.6,5.7
11.2,34.5,19.7,5.4,5.1
11.7,33.7,19.4,4.9,4.9
12.0,31.8,22.7,4.6,4.1
12.0,27.3,27.0,4.9,3.7
11.3,24.0,41.3,5.3,3.4
11.8,21.4,73.6,5.4,3.2
11.5,17.9,77.3,6.4,3.2
11.1,15.6,73.5,8.3,3.2
11.9,15.2,74.4,9.8,3.2
12.2,14.3,58.0,11.8,3.3
12.7,13.1,49.8,12.8,3.6
11.8,12.6,45.7,15.3,4.0
11.8,12.8,40.3,16.7,4.6
11.5,12.4,38.6,18.5,4.6
11.4,11.6,37.5,19.7,5.4
11.1,10.7,35.0,21.1,5.6
10.6,10.7,33.1,21.7,6.1
10.5,10.4,30.0,23.8,7.1
9.6,9.0,28.5,24.6,7.0
8.8,9.1,27.3,26.7,7.6
8.9,8.7,26.4,29.3,8.4
8.1,8.2,24.9,29.0,9.4
7.5,7.6,24.8,33.0,9.9
6.6,6.6,22.9,34.0,9.9
6.0,6.4,22.6,33.1,10.9
5.8,5.9,23.6,32.7,10.4
5.4,6.1,28.1,28.3,11.3
4.6,6.1,40.6,24.4,10.8
4.7,7.1,54.2,21.0,10.5
4.3,7.6,53.1,18.6,10.9
4.2,8.8,55.0,16.0,10.2
4.5,9.0,53.8,16.0,10.2
4.3,10.0,55.4,15.3,11.2
4.6,11.1,53.4,15.3,10.3
4.6,11.1,49.7,14.6,10.2
4.9,11.6,49.3,14.7,10.9
4.7,12.4,48.9,13.2,10.5
5.1,11.9,48.4,13.6,10.6
5.3,12.4,45.7,13.4,10.4
5.4,13.3,47.3,13.0,9.9
5.8,13.7,46.3,13.0,9.3
6.0,14.5,44.8,11.9,9.8
6.0,14.2,41.6,12.3,9.1
6.2,14.5,40.0,11.6,8.7
6.3,14.7,38.8,12.1,9.1
6.6,16.0,36.3,11.2,9.0
6.8,16.5,37.9,11.4,8.4
7.1,15.9,34.9,10.8,8.0
7.4,16.2,35.3,11.1,8.3
7.9,16.7,31.4,10.2,8.0
7.9,18.2,29.8,10.0,7.4
8.3,17.6,30.5,9.6,7.0
8.9,18.3,29.4,8.6,7.4
8.6,19.3,28.4,49.6,6.7
9.0,18.6,26.6,50.0,6.7
9.3,19.1,24.4,46.3,6.3
9.2,20.9,23.5,44.6,6.1
9.6,20.1,22.1,42.7,5.7
10.0,21.6,20.3,38.2,5.5
9.9,21.9,18.4,35.4,5.3
10.6,21.2,17.5,38.7,5.1
10.5,19.9,19.0,42.8,5.3
11.9,19.7,18.9,46.4,5.5
12.3,17.2,18.0,60.3,5.7
13.9,16.9,19.8,66.4,6.7
14.9,16.0,21.2,67.0,7.6
16.7,16.0,24.0,62.5,8.7
20.2,15.0,26.3,43.0,9.7
20.0,16.3,33.3,35.5,12.7
17.4,16.9,38.7,9.3,16.6
17.6,16.5,49.3,6.9,18.4
16.4,17.6,54.1,6.3,19.9
16.4,18.1,58.4,6.5,21.8
15.6,17.9,61.9,6.6,19.5
14.9,17.5,62.2,7.0,18.0
14.5,16.6,62.2,67.7,13.8
13.4,16.2,59.8,69.3,10.6
13.1,16.0,58.8,65.7,6.0
12.6,15.4,57.2,68.4,2.5
12.5,15.6,54.1,63.6,2.9
12.6,14.8,53.1,61.4,3.2
12.0,14.4,53.5,60.2,3.5
11.4,14.4,54.8,59.8,62.5
11.9,13.8,50.1,60.7,64.9
10.8,13.7,49.5,58.6,65.0
11.0,14.9,46.7,65.1,67.5
11.1,15.8,46.9,65.3,67.6
10.9,18.3,48.2,73.0,57.6
10.2,21.0,45.6,83.0,15.8
10.7,25.1,34.8,97.3,4.7
11.6,31.6,24.0,107.3,5.4
12.1,42.6,18.7,66.8,5.7
13.0,45.8,21.4,67.9,6.6
15.1,46.3,61.6,65.2,7.2
15.2,45.6,62.0,66.4,6.7
16.3,44.0,63.1,63.8,6.6
18.6,46.0,61.2,62.3,6.4
19.6,43.3,60.8,61.5,5.4
20.9,44.3,62.9,60.4,4.2
23.4,39.7,60.1,62.9,7.0
24.9,39.6,63.7,62.0,8.0
25.3,39.2,57.0,61.4,9.1
26.9,39.0,56.2,59.3,10.1
29.1,36.6,62.8,59.4,10.2
33.3,8.1,65.2,54.9,10.8
39.0,8.2,68.7,53.1,10.2
42.3,7.4,80.9,45.3,9.8
41.1,7.1,78.7,41.6,10.7
41.9,6.6,83.3,37.1,10.3
40.3,6.2,84.6,39.0,11.7
38.6,39.4,89.1,38.7,12.1
38.0,39.1,93.1,40.5,11.9
4.9,35.4,87.4,39.4,12.2
4.3,37.6,84.6,40.9,12.9
3.5,36.8,89.6,42.3,14.2
2.6,34.5,83.6,43.1,14.5
5.3,33.0,86.8,46.1,14.6
8.4,35.1,82.1,47.0,15.7
11.4,32.8,79.9,48.8,15.9
15.1,32.9,78.4,45.9,17.5
18.2,32.2,78.2,46.0,17.1
20.2,32.0,73.7,45.1,18.8
22.3,32.4,72.6,42.4,18.3
26.6,29.9,75.4,39.1,19.6
30.4,30.6,75.6,39.1,18.9
31.3,29.3,68.2,36.4,20.4
29.3,28.0,67.1,37.3,20.5
28.9,26.8,71.3,35.8,21.9
27.9,28.0,69.0,33.6,22.0
27.6,26.7,69.2,31.6,22.7
26.1,25.9,66.4,31.4,24.0
26.0,24.7,64.7,30.1,24.7
25.3,25.7,62.5,29.2,23.8
24.4,25.0,57.9,26.0,24.4
24.3,24.7,58.4,26.0,25.5
24.8,24.3,55.7,23.7,24.7
24.6,22.4,54.8,24.1,27.6
22.5,21.6,53.7,22.4,28.5
22.7,22.7,53.6,20.1,28.2
21.5,20.4,53.4,19.1,28.2
22.1,20.1,52.1,18.2,29.6
21.1,20.2,49.8,17.7,29.0
20.4,20.0,47.5,15.3,30.1
19.4,17.9,45.5,14.7,32.1
18.1,18.7,44.4,13.0,32.6
18.4,16.8,43.4,11.8,32.5
17.9,16.6,42.0,10.3,31.7
17.3,17.0,42.0,9.3,26.8
15.6,16.4,40.3,9.8,24.6
16.0,14.9,38.0,11.2,22.1
15.5,14.5,39.4,13.4,18.9
14.3,14.4,38.4,15.4,15.3
13.5,13.9,35.3,16.8,11.8
14.0,13.5,34.6,18.3,9.0
12.6,12.8,31.2,19.8,6.1
12.3,11.5,33.0,20.6,5.1
11.7,11.6,29.0,22.1,5.9
10.6,10.5,28.9,24.1,6.0
10.8,10.1,27.8,24.5,6.7
10.0,9.8,27.4,25.6,7.6
9.1,8.7,23.8,24.0,8.0
8.4,8.3,24.4,22.7,9.1
