3.5,2.3,4.4,75.6,16.5,42.8
3.6,2.7,4.7,69.9,16.1,43.5
4.1,3.8,4.6,69.8,22.0,41.9
4.1,4.6,4.4,67.4,27.0,43.3
4.7,4.3,4.4,68.1,29.3,47.5
5.3,4.1,3.4,62.1,31.5,38.1
5.6,4.2,2.6,52.1,38.8,34.8
6.0,4.2,2.2,2.8,99.3,30.9
7.0,4.2,1.8,2.7,100.0,27.2
7.5,4.3,1.6,2.6,94.7,25.9
6.7,4.5,2.2,2.6,92.5,29.3
6.4,4.8,3.0,53.3,106.4,30.8
6.3,5.0,4.1,56.4,29.8,35.5
5.8,5.4,4.2,69.6,28.5,41.8
5.5,3.6,4.1,72.1,26.8,47.0
5.4,2.6,3.9,71.7,21.1,45.4
5.0,2.0,3.9,73.2,21.7,44.6
5.3,1.6,4.2,73.8,15.0,40.2
4.9,1.4,4.4,74.5,14.4,42.5
5.0,1.4,4.4,80.5,14.3,39.4
5.0,2.2,4.7,91.8,15.4,41.0
4.9,2.6,42.9,95.0,15.6,41.2
4.9,3.6,56.2,38.6,15.1,35.1
5.2,4.8,62.8,29.7,15.3,34.5
5.7,6.8,69.6,22.7,17.3,21.7
6.1,6.2,71.8,16.5,18.3,16.8
4.9,5.7,76.8,16.1,19.3,12.3
3.6,5.2,75.0,15.5,21.2,11.7
2.1,4.7,85.5,15.0,19.9,10.6
2.9,3.9,83.0,14.4,19.7,11.6
3.8,44.1,80.0,14.2,20.2,12.3
4.4,44.8,82.7,12.9,19.3,12.8
5.4,42.1,81.3,12.9,19.3,13.2
5.0,42.6,77.0,11.4,17.7,14.8
3.5,41.5,76.6,11.5,17.2,15.8
2.3,41.0,78.8,10.0,16.1,15.5
2.3,39.2,73.5,15.3,15.0,17.6
3.2,38.2,76.4,14.0,14.9,17.3
4.2,49.5,74.2,13.9,12.8,19.4
5.2,48.6,73.9,12.9,12.6,20.8
6.2,48.4,76.7,12.2,11.9,21.1
7.4,46.2,75.1,11.4,11.0,21.7
7.8,43.0,69.0,10.2,9.7,23.8
9.0,43.7,71.4,14.5,8.7,24.5
23.9,44.0,68.1,14.7,7.9,26.1
25.6,43.2,68.2,13.0,6.6,25.3
24.9,43.3,67.7,12.4,6.0,27.7
27.5,39.7,69.3,11.6,7.6,27.0
32.4,40.3,65.6,10.9,8.1,28.3
30.2,40.5,67.0,11.0,9.2,30.0
29.0,37.1,60.6,9.5,8.3,32.2
31.3,38.4,61.8,9.3,8.1,32.0
30.4,35.7,59.2,8.9,6.2,35.0
32.8,42.2,57.2,8.0,6.0,33.0
31.7,39.8,58.7,7.1,8.2,36.0
33.0,39.6,56.6,6.4,8.4,35.1
31.7,41.4,56.7,5.8,10.0,37.1
30.9,38.8,54.1,9.8,8.6,36.9
29.4,39.9,56.1,9.5,8.1,41.3
31.9,36.6,54.5,9.0,7.0,39.2
31.6,41.1,52.2,8.3,5.8,40.1
32.6,39.5,52.1,7.4,5.1,42.2
32.3,40.8,53.2,6.8,3.8,41.7
31.4,37.9,49.7,41.6,2.9,46.8
29.9,37.4,49.9,39.4,4.2,44.9
27.5,37.9,47.2,41.1,5.1,48.6
27.5,36.1,48.9,40.0,5.7,47.2
26.7,37.0,45.8,36.9,5.8,47.1
25.1,34.9,43.4,37.4,5.0,47.5
28.3,33.9,44.3,133.0,4.0,51.3
29.5,35.4,42.1,124.5,3.2,49.9
29.3,33.9,41.0,131.4,4.4,54.6
30.8,33.2,41.8,134.3,5.5,54.8
29.7,32.0,39.0,123.3,6.6,52.5
33.5,30.7,40.4,129.8,7.9,57.9
32.5,30.1,38.7,122.1,8.5,59.5
29.7,31.0,35.4,125.9,9.3,57.9
29.2,28.3,34.1,130.1,10.5,57.5
29.0,27.4,35.9,126.8,12.0,62.5
29.0,22.7,34.2,122.9,13.0,58.3
27.0,23.2,31.5,122.0,13.0,60.1
24.9,21.7,30.3,119.1,19.4,65.6
24.9,21.0,30.7,117.3,19.6,66.8
26.5,20.8,28.7,126.3,17.8,67.9
27.1,19.2,27.1,115.3,19.1,64.9
27.5,18.6,26.0,125.9,20.3,69.1
28.8,17.9,27.1,114.5,19.6,70.8
25.8,16.8,28.3,121.8,20.4,66.2
28.1,16.7,28.3,121.7,19.7,48.8
26.4,17.2,32.7,57.4,20.6,44.5
25.3,16.8,39.3,58.7,22.3,46.7
23.3,18.8,57.0,29.5,15.6,49.4
17.9,19.3,76.6,28.6,14.9,50.3
17.3,25.3,121.7,25.4,13.4,52.3
16.9,25.0,114.3,23.3,13.5,46.2
15.6,28.9,116.9,20.0,14.0,40.7
17.1,33.3,62.5,20.5,13.9,33.0
17.7,43.4,35.8,21.3,14.7,33.1
19.2,58.1,26.3,14.9,22.0,29.8
20.4,76.3,29.6,14.5,91.7,27.2
23.2,124.6,24.8,14.4,77.6,26.9
25.4,112.7,20.2,14.1,64.6,26.0
31.9,121.6,19.0,14.3,48.5,26.4
35.7,62.1,20.8,14.7,41.9,24.8
60.7,32.6,15.6,21.2,45.5,22.1
70.7,26.1,14.0,38.1,47.1,16.8
94.4,27.3,14.6,85.9,45.6,17.2
119.6,23.2,14.0,69.5,46.4,15.8
114.1,20.9,13.8,63.3,43.9,16.6
69.5,18.9,14.4,45.0,33.4,15.7
55.2,22.8,15.8,45.4,34.3,16.5
27.3,15.4,21.4,48.1,31.8,17.7
28.5,13.7,95.5,47.9,26.6,19.0
25.6,14.6,77.4,49.7,28.5,24.0
20.8,13.4,67.6,45.3,26.6,24.9
19.9,14.3,48.0,42.3,28.1,30.3
20.1,14.8,44.7,31.8,24.7,34.9
15.7,20.1,46.7,32.6,24.5,47.3
15.3,37.7,51.3,29.2,16.8,63.9
13.8,90.2,47.9,28.6,15.8,79.2
14.0,75.5,47.3,26.1,15.6,119.4
14.5,66.9,42.6,26.8,16.2,121.7
14.6,47.4,32.6,27.9,15.7,123.7
14.3,43.5,34.6,24.3,17.6,61.3
22.0,46.1,34.1,23.3,17.2,31.1
89.2,50.6,25.8,17.3,19.5,29.0
82.8,54.7,27.8,16.5,24.8,27.0
68.8,48.2,25.2,16.1,23.5,21.6
46.7,43.1,27.4,16.5,27.2,19.7
45.0,32.7,26.9,16.6,34.4,19.1
46.9,33.3,23.1,17.7,43.1,22.3
51.4,31.6,22.9,18.0,59.1,14.3
47.2,25.9,17.3,20.4,76.0,14.1
52.1,27.1,16.0,24.6,121.4,14.4
43.6,26.0,16.1,26.5,121.1,13.4
35.9,27.9,16.1,30.8,122.6,14.1
33.4,23.9,16.8,38.4,58.6,14.2
33.9,23.6,16.7,48.2,31.9,21.8
28.5,16.4,19.3,68.9,26.9,39.7
28.6,17.1,27.5,93.8,27.5,82.6
25.0,15.6,23.5,118.8,24.3,73.5
28.4,16.0,28.6,123.8,21.3,61.2
27.6,16.0,33.2,69.1,17.8,47.1
24.6,16.7,40.4,59.1,21.9,49.8
21.9,17.7,58.0,27.9,15.3,49.1
16.6,18.7,74.3,28.7,14.4,47.0
16.2,23.9,125.7,26.4,13.6,52.1
15.4,23.8,120.0,21.6,13.9,45.3
