19.3,59.9,2.5,30.0,19.7
17.0,83.1,3.7,28.9,22.3
14.7,87.9,4.1,28.8,26.8
13.0,77.7,6.1,9.5,31.2
12.0,45.8,9.2,3.4,33.0
10.4,31.9,14.3,0.5,30.7
10.0,24.3,25.6,1.2,32.4
38.9,20.0,58.6,2.0,31.2
40.9,16.8,84.5,3.3,31.4
42.0,14.4,86.2,3.9,23.8
39.3,13.4,68.2,6.4,7.9
44.2,12.2,46.3,9.2,2.7
45.4,10.8,34.7,13.6,0.5
39.0,10.2,28.9,18.9,0.9
37.4,10.3,26.8,23.0,1.4
36.2,9.9,24.5,27.3,1.9
34.4,9.0,21.6,34.6,2.8
34.0,9.0,20.8,43.5,3.1
36.1,8.3,18.7,46.9,3.9
35.8,7.1,17.7,57.7,4.8
40.3,6.7,16.9,85.3,5.5
40.5,6.1,15.8,83.1,6.6
43.7,5.2,14.6,75.6,7.2
42.1,4.3,12.6,81.7,7.9
42.2,3.8,11.3,79.3,8.9
4.5,3.1,9.6,75.8,10.3
4.2,2.3,9.0,73.6,11.7
3.3,1.4,7.6,73.5,12.7
2.4,0.7,6.3,74.7,13.0
2.7,0.9,6.8,70.2,13.0
2.3,0.6,6.4,72.9,13.4
2.3,0.7,6.4,67.9,13.0
2.2,0.6,6.7,68.3,12.4
2.2,0.6,6.4,68.4,12.5
2.2,0.6,6.6,70.8,13.0
2.1,0.6,6.7,63.8,13.1
2.1,0.7,7.2,67.8,13.0
2.1,0.6,7.0,64.2,12.2
2.1,0.6,6.8,65.2,13.1
2.0,0.7,6.8,64.1,12.1
2.0,0.6,7.5,59.7,13.1
2.0,0.7,7.4,61.2,12.4
2.1,0.6,7.3,61.5,12.2
2.1,0.7,6.9,60.5,12.7
2.1,0.7,6.9,56.2,13.0
2.2,0.7,6.9,57.8,12.9
2.3,0.7,6.8,56.3,12.7
2.4,0.7,6.6,53.2,13.2
2.4,0.7,6.4,52.6,13.4
2.5,0.7,6.1,54.0,13.9
2.7,0.7,6.1,52.6,13.5
2.9,0.7,5.3,53.7,14.2
3.2,0.7,5.1,51.2,15.1
3.5,0.7,4.8,51.7,15.2
4.3,0.7,4.0,50.7,16.2
4.5,0.7,3.6,46.8,18.3
5.7,0.7,2.9,48.5,18.8
6.9,0.8,2.4,37.2,23.1
8.1,0.7,1.7,25.0,52.8
10.4,0.7,1.2,16.8,49.7
13.5,0.8,0.6,11.4,49.7
17.6,0.8,0.1,8.2,46.4
25.0,0.8,0,5.0,44.0
59.2,0.8,0,2.9,42.3
58.7,1.0,0,1.1,41.2
56.4,1.0,0,1.3,41.0
59.0,1.0,0,1.4,41.6
59.1,0.9,0,1.2,41.7
58.1,0.9,0,1.1,42.0
60.2,0.9,0,1.0,40.7
59.9,0.8,0,1.1,44.0
55.1,0.9,0,1.0,40.7
59.5,0.9,0,1.0,43.0
60.2,0.9,0,1.0,41.2
56.2,0.9,0,1.1,44.0
57.1,0.9,0,1.0,42.4
56.5,0.9,0,1.1,42.9
60.0,0.8,0,1.0,43.3
57.8,0.9,0,1.1,44.3
58.6,0.9,0,1.1,44.1
57.5,0.8,0,1.1,44.3
58.1,0.9,0,1.1,42.5
59.9,0.8,0,1.6,42.6
58.9,0.8,0,2.2,42.3
57.0,0.8,0,3.2,42.9
33.6,0.9,0,4.0,42.9
25.7,0.8,0,5.5,42.6
20.7,0.8,-0.0,7.3,42.1
15.3,0.8,0.4,9.4,47.0
13.1,0.8,0.8,12.7,46.8
10.0,0.9,1.3,16.5,49.8
8.3,0.8,1.9,25.3,53.0
6.7,0.8,2.6,42.8,22.3
5.1,0.7,3.3,43.8,20.1
5.2,0.7,3.5,43.6,17.8
4.9,0.8,3.5,41.5,18.9
5.0,0.8,3.5,42.4,17.4
4.3,0.8,3.9,40.0,17.7
4.0,0.8,4.9,42.1,15.7
3.0,0.8,5.7,42.8,14.5
2.5,1.0,7.5,40.5,12.1
1.9,1.2,10.1,43.8,12.1
1.4,1.6,14.9,46.7,11.1
1.1,2.1,23.5,48.0,9.6
0.9,2.9,43.9,21.9,9.7
0.8,3.6,39.5,18.3,9.2
0.8,5.1,41.7,15.7,9.7
0.9,6.7,43.8,13.5,9.8
1.0,7.8,41.0,13.4,9.3
1.2,8.8,41.3,11.7,9.5
1.2,9.5,43.7,11.3,9.7
1.4,10.2,39.9,11.7,9.9
1.5,10.7,41.5,11.4,9.8
1.6,11.2,39.1,10.8,9.1
1.9,11.7,39.5,11.0,9.0
2.1,12.8,40.6,10.5,9.0
2.4,13.3,38.9,10.4,8.3
2.9,13.0,38.7,9.6,8.7
3.1,15.0,36.4,9.7,7.9
3.7,14.6,35.6,9.3,8.0
3.8,16.1,32.6,8.9,7.2
4.4,16.3,32.5,8.5,7.3
4.5,18.4,31.7,8.0,6.4
4.9,18.5,30.4,7.8,6.5
5.8,19.2,28.9,7.0,5.7
5.8,21.0,26.1,6.4,5.7
6.1,21.1,24.3,6.2,5.1
6.7,21.9,23.2,57.0,4.5
7.4,22.7,22.2,52.3,4.4
7.4,22.9,22.5,52.4,3.9
7.7,23.5,20.8,50.0,3.3
8.8,22.1,18.4,48.0,3.2
8.7,20.3,16.9,42.9,2.7
9.5,18.4,15.7,40.2,2.3
9.6,15.9,14.3,39.6,4.7
10.2,14.8,13.6,37.7,6.2
11.2,13.9,14.1,43.6,5.7
11.8,12.2,13.8,55.7,4.7
13.5,11.5,14.5,65.0,3.4
14.7,11.7,16.7,61.1,2.6
17.4,10.9,18.0,62.8,3.7
17.5,10.7,19.0,62.1,4.1
15.7,9.9,20.2,56.9,4.2
13.3,9.8,20.2,51.2,3.5
12.7,9.0,20.2,46.1,2.4
11.4,8.8,19.8,45.3,3.7
10.2,8.1,18.7,47.9,4.4
9.9,7.1,17.3,48.8,5.4
9.2,6.4,16.9,48.8,102.5
8.0,5.8,15.7,52.0,104.4
7.3,4.7,14.8,54.8,101.2
6.1,4.1,12.7,53.2,101.3
